OBJECTID_1,OBJECTID,NAME,CCR,Area_sq_mi,Study_Regi,FULLNAME,Type,DFG_URL,CCR_Int,SHORTNAME,Acres,Hectares,Shape__Area,Shape__Length
22,28,Point Arena SMR,Section 632 (b) (28),4.3777799,NCCSR,Point Arena State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-28,28,Point Arena,2801.790279,1133.844298,18779439.86,20589.50558
23,30,Sea Lion Cove SMCA,Section 632 (b) (30),0.22405729,NCCSR,Sea Lion Cove State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-30,30,Sea Lion Cove,143.3972343,58.03080187,960433.5938,5711.541829
24,31,Saunders Reef SMCA,Section 632 (b) (31),9.36083612,NCCSR,Saunders Reef State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-31,31,Saunders Reef,5990.95894,2424.455066,40027194.26,34556.96212
25,36,Gerstle Cove SMR,Section 632 (b) (36),0.01016289,NCCSR,Gerstle Cove State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-36,36,Gerstle Cove,6.50427259,2.63218573,43120.77734,981.6616092
26,37,Russian River SMRMA,Section 632 (b) (37),0.35530902,NCCSR,Russian River State Marine Recreational Management Area,SMRMA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-37,37,Russian River,227.398678,92.02498006,1502514.371,10469.39495
27,38,Russian River SMCA,Section 632 (b) (38),0.84052394,NCCSR,Russian River State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-38,38,Russian River,537.9374622,217.6955674,3554603.094,7646.711238
28,41,Estero Americano SMRMA,Section 632 (b) (41),0.13099226,NCCSR,Estero Americano State Marine Recreational Management Area,SMRMA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-41,41,Estero Americano,83.83538231,33.92697553,551768.5234,7516.314352
29,42,Estero de San Antonio SMRMA,Section 632 (b) (42),0.07274201,NCCSR,Estero de San Antonio State Marine Recreational Management Area,SMRMA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-42,42,Estero de San Antonio,46.55507029,18.84016852,306149.0742,10621.58619
30,45,Point Reyes Headlands Special Closure,Section 632 (b) (45),0.67195492,NCCSR,Point Reyes Headlands Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-45,45,Point Reyes Headlands,430.0528607,174.0362181,2806641.523,16807.47175
31,48,Point Resistance Rock Special Closure,Section 632 (b) (48),0.01457196,NCCSR,Point Resistance Rock Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-48,48,Point Resistance Rock,9.32609193,3.7741355,60876.02734,876.8339553
32,49,Double Point/Stormy Stack Rock Special Closure,Section 632 (b) (49),0.02247861,NCCSR,Double Point/Stormy Stack Rock Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-49,49,Double Point/Stormy Stack Rock,14.38636711,5.82195621,93776.96875,1105.46253
